,BR_665_620,BR_708_620,BR_708_660,BR_708_681,BR_708_673,LH_553,LH_620,LH_665,SS_665_CI,LH_673,SS_681_CI,LH_708,LH_708_,mm12,mi14,Chla
88,0.726011852,0.399072288,0.549677374,0.615457608,0.563311074,0.034319193,-0.006870379,-0.000976104,-0.000539883,0.000783713,0.001626588,-0.001849308,-0.001085021,-0.290591212,-0.150605086,1.88
89,0.822253062,0.582041489,0.707861747,0.762955068,0.725158434,0.035991085,0.000608003,-0.000722006,-0.000200106,0.000714735,0.002128651,0.00338488,0.006144163,-0.171054978,-0.125820258,7.69
90,0.699423482,0.388490117,0.555443344,0.625158925,0.571744131,0.025224118,-0.006817153,-0.000750777,-0.00056233,0.000503113,0.000995232,-0.000979349,-0.00046561,-0.285807039,-0.166953226,2.77
91,0.765566967,0.502630359,0.656546561,0.727612342,0.680381437,0.035237825,-0.002375948,-0.00062431,-0.000313281,0.000522963,0.00114141,0.001413069,0.002770829,-0.207330991,-0.153916202,6.57
92,0.752984793,0.533432774,0.708424365,0.806114544,0.745084587,0.025963795,-0.000301935,-0.000245667,0.00010646,0.000361497,-0.000402842,0.002725028,0.003222722,-0.170669326,-0.174991591,13.83
93,0.858196346,0.652787283,0.760650272,0.822112984,0.779157328,0.031330927,0.000769594,-0.000254704,0.000630237,0.000727146,0.000762904,0.005534394,0.007832788,-0.135943936,-0.107862988,8.49
94,0.838013265,0.576478055,0.687910417,0.75798404,0.703201815,0.034241214,-0.000558541,-0.000618825,0.00101063,0.00141382,0.001367654,0.003175594,0.005251704,-0.184897006,-0.111432362,5.82
95,0.824386011,0.542966109,0.65863091,0.727507162,0.670517675,0.030096657,-0.001485462,-0.00087897,0.000717793,0.001521735,0.001662415,0.001405123,0.003184778,-0.205813776,-0.115664801,2.9
96,0.752412439,0.442002445,0.587447019,0.665086756,0.606519641,0.029084135,-0.004458369,-0.000681401,-5.74E-06,0.000798649,0.001090842,-0.000680584,1.55E-06,-0.259884567,-0.145444574,2.65
97,0.760330646,0.470713604,0.619090663,0.727597032,0.664134424,0.024431495,-0.002386352,0.000273258,0.000746485,0.000184113,-0.000201986,0.00123474,0.001444407,-0.235261277,-0.148377059,5.2
98,0.690488475,0.39919556,0.578135008,0.637826884,0.577551044,0.022989953,-0.005328854,-0.001151508,-0.00081566,0.000803384,0.001065258,-0.000764144,-0.000128164,-0.267318696,-0.178939448,3.95
99,0.718507754,0.398259691,0.554287256,0.624689596,0.57330558,0.02230586,-0.003715796,-0.000476575,-0.000301937,0.000356653,0.000817845,-0.000866359,-0.000462844,-0.28676343,-0.156027564,3.57
